step, pre_in1, pre_in2, post_in, pre1_spike, pre2_spike, post_spike, w1, w2, c1, c2
336, 84978, 87077, 0, 0, 0, 0, 0, 0, 0, 0
337, 85918, 83656, 0, 0, 0, 0, 10813440, 3670351, 10355014, 13107200
338, 84823, 83657, 0, 1, 0, 0, 84823, 83657, 0, 84727
339, 84727, 86158, 0, 0, 0, 0, 5279232, 1, 4878081, 4855296
340, 84591, 84502, 0, 0, 1, 0, 341, 8192335, 720896, 335
341, 87421, 85771, 0, 0, 0, 0, 84755, 0, 84428, 84323
342, 85874, 84755, 0, 1, 0, 0, 1, 5139969, 5163520, 1
343, 84428, 84323, 0, 1, 0, 0, 11731282, 4456448, 339, 2228565
344, 85614, 85706, 0, 1, 0, 0, 0, 84776, 86290, 0
345, 86451, 86596, 0, 1, 1, 0, 5123585, 4656640, 1, 5108993
346, 86818, 87345, 0, 0, 0, 0, 15728640, 336, 10617160, 3276800
347, 84776, 86290, 0, 1, 0, 0, 85123, 86836, 0, 85459
348, 85550, 83726, 0, 0, 0, 0, 4820224, 1, 5154049, 5429504
349, 85493, 84976, 0, 0, 1, 1, 331, 7340372, 7143424, 341
350, 86178, 84018, 0, 0, 0, 0, 86664, 0, 84013, 85606
351, 85123, 86836, 0, 0, 1, 0, 1, 5562881, 5386240, 1
352, 85459, 84365, 0, 0, 1, 0, 5505354, 14614528, 330, 590154
353, 85669, 86745, 0, 1, 0, 0, 0, 84166, 86863, 0
354, 84848, 87149, 0, 1, 0, 0, 5601025, 5529344, 1, 5091073
355, 87438, 86664, 0, 0, 0, 0, 11730944, 328, 9699658, 14221312
356, 84013, 85606, 0, 1, 0, 0, 85123, 86638, 0, 85689
357, 87266, 86576, 0, 0, 0, 0, 5150208, 1, 5276929, 5308160
358, 86612, 84703, 0, 0, 0, 0, 328, 15728972, 8978432, 333
359, 84489, 84482, 0, 0, 0, 0, 85004, 0, 84640, 86664
360, 84166, 86863, 0, 1, 0, 0, 1, 5336577, 4715264, 1
361, 87415, 87135, 0, 0, 1, 1, 11600206, 9437184, 338, 9634125
362, 85423, 84403, 0, 1, 0, 0, 0, 87419, 84306, 0
363, 84116, 84697, 0, 0, 0, 1, 5192449, 4808448, 1, 4998401
364, 85123, 86638, 0, 0, 0, 0, 65536, 331, 5833031, 1179648
365, 85689, 85654, 0, 1, 0, 0, 87014, 87001, 0, 87014
366, 86149, 86271, 0, 0, 0, 0, 5541632, 1, 5200641, 5160960
367, 84208, 85129, 0, 0, 1, 0, 341, 5374290, 12713984, 338
368, 85408, 85004, 0, 0, 0, 0, 85641, 0, 83904, 86262
369, 84640, 86664, 0, 1, 1, 0, 1, 4712705, 4670720, 1
370, 86382, 83955, 0, 1, 1, 1, 3801427, 4718592, 335, 8388948
